Group,1,2,Unnamed: 3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Hydrogen & alkali metals,Alkaline earth metals,,,,,,,,,,,,Triels,Tetrels,Pnicto­gens,Chal­co­gens,Halo­gens,Noble gases
Period 1,Hydro­gen1H​1.0080,,,,,,,,,,,,,,,,,,He­lium2He​4.0026
2,Lith­ium3Li​6.94,Beryl­lium4Be​9.0122,,,,,,,,,,,,Boron5B​10.81,Carbon6C​12.011,Nitro­gen7N​14.007,Oxy­gen8O​15.999,Fluor­ine9F​18.998,Neon10Ne​20.180
3,So­dium11Na​22.990,Magne­sium12Mg​24.305,,,,,,,,,,,,Alumin­ium13Al​26.982,Sili­con14Si​28.085,Phos­phorus15P​30.974,Sulfur16S​32.06,Chlor­ine17Cl​35.45,Argon18Ar​39.95
4,Potas­sium19K​39.098,Cal­cium20Ca​40.078,,Scan­dium21Sc​44.956,Tita­nium22Ti​47.867,Vana­dium23V​50.942,Chrom­ium24Cr​51.996,Manga­nese25Mn​54.938,Iron26Fe​55.845,Cobalt27Co​58.933,Nickel28Ni​58.693,Copper29Cu​63.546,Zinc30Zn​65.38,Gallium31Ga​69.723,Germa­nium32Ge​72.630,Arsenic33As​74.922,Sele­nium34Se​78.971,Bromine35Br​79.904,Kryp­ton36Kr​83.798
5,Rubid­ium37Rb​85.468,Stront­ium38Sr​87.62,,Yttrium39Y​88.906,Zirco­nium40Zr​91.224,Nio­bium41Nb​92.906,Molyb­denum42Mo​95.95,Tech­netium43Tc​[97],Ruthe­nium44Ru​101.07,Rho­dium45Rh​102.91,Pallad­ium46Pd​106.42,Silver47Ag​107.87,Cad­mium48Cd​112.41,Indium49In​114.82,Tin50Sn​118.71,Anti­mony51Sb​121.76,Tellur­ium52Te​127.60,Iodine53I​126.90,Xenon54Xe​131.29
6,Cae­sium55Cs​132.91,Ba­rium56Ba​137.33,,Lute­tium71Lu​174.97,Haf­nium72Hf​178.49,Tanta­lum73Ta​180.95,Tung­sten74W​183.84,Rhe­nium75Re​186.21,Os­mium76Os​190.23,Iridium77Ir​192.22,Plat­inum78Pt​195.08,Gold79Au​196.97,Mer­cury80Hg​200.59,Thallium81Tl​204.38,Lead82Pb​207.2,Bis­muth83Bi​208.98,Polo­nium84Po​[209],Asta­tine85At​[210],Radon86Rn​[222]
7,Fran­cium87Fr​[223],Ra­dium88Ra​[226],,Lawren­cium103Lr​[266],Ruther­fordium104Rf​[267],Dub­nium105Db​[268],Sea­borgium106Sg​[269],Bohr­ium107Bh​[270],Has­sium108Hs​[269],Meit­nerium109Mt​[278],Darm­stadtium110Ds​[281],Roent­genium111Rg​[282],Coper­nicium112Cn​[285],Nihon­ium113Nh​[286],Flerov­ium114Fl​[289],Moscov­ium115Mc​[290],Liver­morium116Lv​[293],Tenness­ine117Ts​[294],Oga­nesson118Og​[294]
,,,,,,,,,,,,,,,,,,,
,,,,Lan­thanum57La​138.91,Cerium58Ce​140.12,Praseo­dymium59Pr​140.91,Neo­dymium60Nd​144.24,Prome­thium61Pm​[145],Sama­rium62Sm​150.36,Europ­ium63Eu​151.96,Gadolin­ium64Gd​157.25,Ter­bium65Tb​158.93,Dyspro­sium66Dy​162.50,Hol­mium67Ho​164.93,Erbium68Er​167.26,Thulium69Tm​168.93,Ytter­bium70Yb​173.05,,
,,,,Actin­ium89Ac​[227],Thor­ium90Th​232.04,Protac­tinium91Pa​231.04,Ura­nium92U​238.03,Neptu­nium93Np​[237],Pluto­nium94Pu​[244],Ameri­cium95Am​[243],Curium96Cm​[247],Berkel­ium97Bk​[247],Califor­nium98Cf​[251],Einstei­nium99Es​[252],Fer­mium100Fm​[257],Mende­levium101Md​[258],Nobel­ium102No​[259],,
